EMPLOYER_CANONICAL,total_filings,mba_relevant_filings,certified,new_position_share,median_annual_wage,any_willful_violator,any_h1b_dependent,mba_share
"MANHATTAN ASSOCIATES, INC.",197,197,1.0,0.2131979695431472,132500.0,False,False,1.0
"SCOTIA CAPITAL (USA), INC.",101,101,0.9702970297029703,0.6534653465346535,145000.0,False,False,1.0
"Standish Management US, LLC",92,92,1.0,0.5,91250.0,False,False,1.0
Ernst & Young LLP (EY GUAM),67,67,1.0,0.5223880597014925,46000.0,False,False,1.0
The Siegfried Group LLP,59,59,1.0,0.6779661016949152,140000.0,False,False,1.0
"Houlihan Lokey Financial Advisors, Inc.",57,57,1.0,0.8070175438596491,147000.0,False,False,1.0
"The Smile Mission South Miami, PLLC",41,41,1.0,0.9024390243902439,73500.0,False,False,1.0
Macquarie America Holdings Inc.,35,35,1.0,0.45714285714285713,140000.0,False,False,1.0
"Alvarez & Marsal Consumer and Retail Group, LLC",34,34,1.0,0.7352941176470589,175000.0,False,False,1.0
Stifel Financial Corp,29,29,1.0,0.7586206896551724,120000.0,False,False,1.0
CBIZ MAG LLC,28,28,1.0,0.2857142857142857,106700.0,False,False,1.0
"Currie & Brown, Inc.",28,28,1.0,0.5714285714285714,100000.0,False,False,1.0
Roland Berger LP,28,28,1.0,0.2857142857142857,187500.0,False,False,1.0
"Anchin, Block and Anchin LLP",26,26,1.0,0.5384615384615384,71240.0,False,False,1.0
COMMONWEALTH BANK OF AUSTRALIA,26,26,1.0,0.34615384615384615,169707.0,False,False,1.0
TEMASEK INTERNATIONAL (USA) LLC,26,26,1.0,0.4230769230769231,221400.0,False,False,1.0
"Alvarez & Marsal Tax, LLC",25,25,1.0,0.44,113300.0,False,False,1.0
PWP Employer LP,24,24,1.0,0.75,185000.0,False,False,1.0
EASY SURFACES CORPORATION,23,23,1.0,1.0,81000.0,False,False,1.0
Toscano Clements Taylor LLC,22,22,1.0,0.9090909090909091,95000.0,False,False,1.0
APPLICATIONS SOFTWARE TECHNOLOGY LLC,21,21,1.0,1.0,125008.0,False,False,1.0
"Logistics Plus, Inc.",21,21,1.0,0.2857142857142857,92500.0,False,False,1.0
DIA Associates LLC,20,20,1.0,0.75,102500.0,False,False,1.0
"FWC2026 US, Inc.",20,20,1.0,0.7,150685.0,False,False,1.0
Natixis New York Branch,20,20,1.0,0.5,160000.0,False,False,1.0
International Foundation for Ethics and Audit,19,19,0.7368421052631579,0.05263157894736842,165000.0,False,False,1.0
OC&C Strategy Consultants USA Inc.,19,19,1.0,0.8421052631578947,139000.0,False,False,1.0
SRM Tech Inc.,19,19,1.0,0.5263157894736842,164337.5,False,False,1.0
KKR Capstone Americas LLC,18,18,1.0,0.7777777777777778,185000.0,False,False,1.0
SingerLewak LLP,18,18,1.0,0.3888888888888889,98519.5,False,False,1.0
The Raine Group LLC,18,18,1.0,0.8888888888888888,120000.0,False,False,1.0
Warburg Pincus LLC,18,18,1.0,0.4444444444444444,230000.0,False,False,1.0
"Arthur D. Little, LLC",17,17,1.0,0.8823529411764706,220000.0,False,False,1.0
Host & Company III LLC,17,17,1.0,1.0,75733.0,False,False,1.0
KKM CPA ASSOCIATES PLLC,17,17,1.0,0.29411764705882354,95000.0,False,False,1.0
NAV CONSULTING INC.,17,17,1.0,0.23529411764705882,148000.0,False,False,1.0
"PROMETRICS LEGAL HUB, LLC",17,17,1.0,1.0,54000.0,False,False,1.0
AB Health Corp LLC,16,16,1.0,0.8125,70100.0,False,False,1.0
Cantor Fitzgerald & Co.,16,16,1.0,0.8125,102500.0,False,False,1.0
"EVALUESERVE, INC",16,16,1.0,0.3125,100443.0,False,False,1.0
"KNAV Advisory, Inc. fka KNAV P.A.",16,16,1.0,0.375,78041.6,False,False,1.0
"Rodl Management, Inc.",16,16,1.0,0.5,74693.0,False,False,1.0
SERVEONE America Inc.,16,16,1.0,1.0,60000.0,False,False,1.0
"Accenture Infrastructure & Capital Projects, LLC",15,15,1.0,1.0,,False,False,1.0
"Cartesian, Inc",15,15,1.0,0.9333333333333333,90000.0,False,False,1.0
Efficio LLC,15,15,1.0,0.8666666666666667,138091.0,False,False,1.0
GALLEROS ROBINSON CPA's LLP,15,15,1.0,0.8,80568.0,False,False,1.0
"Gardiner & Theobald, Inc.",15,15,1.0,0.4666666666666667,110531.0,False,False,1.0
INFINITE CONSULTING CORP.,15,15,1.0,0.8,105000.0,False,False,1.0
Los Angeles Organizing Committee for the Olympic and Paralympic Games 2028,15,15,1.0,0.9333333333333333,204568.0,False,False,1.0
Shipco Transport Inc.,15,15,1.0,0.0,60372.0,False,False,1.0
Skyline Cabinetry Inc,15,15,1.0,0.6,72779.2,False,False,1.0
TAAD LLP,15,15,1.0,1.0,79999.0,False,False,1.0
"Charlesbank Capital Partners, LLC",14,14,1.0,0.42857142857142855,239054.0,False,False,1.0
Chen & Fan Accountancy Corporation,14,14,1.0,0.8571428571428571,70800.0,False,False,1.0
Metis Strategy LLC,14,14,1.0,0.5714285714285714,150290.0,False,False,1.0
NATIONAL AUSTRALIA BANK LIMITED,14,14,1.0,0.42857142857142855,227037.5,False,False,1.0
Schroder Investment Management North America Inc.,14,14,1.0,0.7142857142857143,125000.0,False,False,1.0
Sensiba LLP,14,14,1.0,0.42857142857142855,96491.0,False,False,1.0
"Thomson Reuters Services, Inc.",14,14,1.0,0.0,93891.0,False,False,1.0
WTP AMERICA LLC,14,14,1.0,0.35714285714285715,130000.0,False,False,1.0
YQN TRANSPORT SERVICE LLC,14,14,1.0,1.0,,False,False,1.0
"Alvarez & Marsal Corporate Performance Improvement, LLC",13,13,1.0,0.6153846153846154,227500.0,False,False,1.0
"CHUGH CPAS, LLP",13,13,1.0,0.3076923076923077,106500.0,False,False,1.0
"COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC",13,13,1.0,0.15384615384615385,121900.0,False,False,1.0
D.A. Davidson & Co.,13,13,1.0,0.6923076923076923,105000.0,False,False,1.0
GLEEDS USA INC.,13,13,1.0,0.9230769230769231,88000.0,False,False,1.0
"GlobalCFO, LLC",13,13,1.0,0.23076923076923078,90000.0,False,False,1.0
"HPS INVESTMENT PARTNERS, LLC",13,13,1.0,0.6153846153846154,170000.0,False,False,1.0
KEB Hana Bank New York Agency,13,13,1.0,0.8461538461538461,64372.0,False,False,1.0
Leerink Partners LLC,13,13,1.0,0.6923076923076923,135000.0,False,False,1.0
Moss Adams Advisory Group LP,13,13,1.0,0.0,114566.0,False,False,1.0
Padilla & Company LLP,13,13,1.0,0.3076923076923077,83200.0,False,False,1.0
"Stepful, Inc.",13,13,1.0,0.9230769230769231,155000.0,False,False,1.0
"The Hackett Group, Inc.",13,13,1.0,0.46153846153846156,172445.0,False,False,1.0
"Triple P Services, LLC",13,13,1.0,0.9230769230769231,175000.0,False,False,1.0
AMG TECHNOLOGY,12,12,1.0,0.6666666666666666,75836.8,False,False,1.0
Axon US Corp,12,12,1.0,0.5,60174.4,False,False,1.0
"Generate Capital, PBC",12,12,1.0,0.5833333333333334,177000.0,False,False,1.0
I Squared Capital Advisors (US) LLC,12,12,1.0,0.6666666666666666,182500.0,False,False,1.0
InnoActive Group,12,12,1.0,0.75,133699.0,False,False,1.0
Long Shine LLC,12,12,1.0,1.0,100000.0,False,False,1.0
"Marathon Capital, LLC",12,12,1.0,0.6666666666666666,175000.0,False,False,1.0
Moss Adams LLP,12,12,1.0,0.5,107723.0,False,False,1.0
"OVERHAUL GROUP, INC.",12,12,1.0,0.5833333333333334,95118.5,False,False,1.0
Parametric Portfolio Associates LLC,12,12,0.8333333333333334,0.9166666666666666,110000.0,False,False,1.0
"Persuit, Inc.",12,12,1.0,0.6666666666666666,165000.0,False,False,1.0
"Sellery, Inc.",12,12,1.0,1.0,95000.0,False,False,1.0
"Soben North America, LLC",12,12,1.0,0.8333333333333334,157500.0,False,False,1.0
"Wei, Wei & Co., LLP",12,12,1.0,0.5,72800.0,False,False,1.0
"XP Investments US, LLC",12,12,1.0,0.16666666666666666,93000.0,False,False,1.0
"Alpine Management Services III, LLC",11,11,1.0,0.8181818181818182,135000.0,False,False,1.0
"Alvarez & Marsal North America, LLC",11,11,1.0,0.45454545454545453,138750.0,False,False,1.0
Ayna.AI LLC,11,11,1.0,0.9090909090909091,122500.0,False,False,1.0
"CPPIB America, Inc.",11,11,1.0,0.7272727272727273,215000.0,False,False,1.0
"CTBC Bank Co., Ltd.",11,11,1.0,0.8181818181818182,73859.5,False,False,1.0
"Cartera Consultants, LLC.",11,11,0.8181818181818182,1.0,58000.0,False,False,1.0
"Cloud Network Technology USA, Inc.",11,11,1.0,0.9090909090909091,50731.0,False,False,1.0
DCD Vehicle Corp.,11,11,1.0,1.0,120000.0,False,False,1.0
Daiwa Corporate Advisory LLC,11,11,1.0,0.9090909090909091,212500.0,False,False,1.0
INNOVAMAT EDUCATION INC.,11,11,1.0,0.7272727272727273,110000.0,False,False,1.0
Liberty Communications of Puerto Rico LLC,11,11,1.0,1.0,185000.0,False,False,1.0
NCHENG LLP CERTIFIED PUBLIC ACCOUNTANTS,11,11,1.0,0.45454545454545453,86000.0,False,False,1.0
"Oxfam-America, Inc.",11,11,1.0,0.0,83835.8,False,False,1.0
"PRAGER METIS CPAS, LLC",11,11,1.0,0.0,93500.08,False,False,1.0
"Plug and Play, LLC",11,11,1.0,0.6363636363636364,82285.0,False,False,1.0
"Prescient Healthcare Group, Inc.",11,11,1.0,0.6363636363636364,140227.215,False,False,1.0
ROTH & COMPANY LLP,11,11,1.0,0.5454545454545454,65280.5,False,False,1.0
SAI CPA SERVICES LLC,11,11,1.0,0.9090909090909091,71136.0,False,False,1.0
"Shah, Dixit & Associates P.C.",11,11,1.0,0.7272727272727273,68000.0,False,False,1.0
South Bay Circle of Friends Inc.,11,11,1.0,1.0,57117.0,False,False,1.0
Stonepeak Partners LP,11,11,1.0,0.5454545454545454,240000.0,False,False,1.0
"WestBridge Capital US Advisors, LP",11,11,1.0,0.5454545454545454,126703.0,False,False,1.0
AFM INNOVATION INC,10,10,1.0,1.0,69981.4,False,False,1.0
AGENCY WITHIN LLC,10,10,1.0,0.5,93250.0,False,False,1.0
AMERICAN MINE MANAGEMENT LLC,10,10,1.0,0.7,210000.0,False,False,1.0
ANANTA USA,10,10,1.0,0.3,90000.0,False,False,1.0
AWESUNG TECH INC,10,10,1.0,0.9,67849.79999999999,False,False,1.0
AWOT GLOBAL LOGISTICS USA CORP,10,10,1.0,0.9,56700.0,False,False,1.0
Ascend Accounting & Tax Advisors LLC,10,10,1.0,0.9,55600.0,False,False,1.0
Ascendant Global Advisors Inc.,10,10,1.0,0.6,83563.9,False,False,1.0
BLUE PLANET INC,10,10,1.0,0.4,83840.0,False,False,1.0
Citizens Holdings LLC,10,10,1.0,0.3,130000.0,False,False,1.0
"Cushman & Wakefield U.S., Inc.",10,10,1.0,0.5,115337.0,False,False,1.0
Delivery Associates Ltd,10,10,1.0,0.2,159682.0,False,False,1.0
EOS Accountants LLP,10,10,1.0,0.3,71136.0,False,False,1.0
G Ashley Inc,10,10,1.0,1.0,,False,False,1.0
Grant Thornton LLP,10,10,1.0,0.8,122750.0,False,False,1.0
"HAND Enterprise Solutions USA, Inc.",10,10,1.0,0.6,108704.79999999999,False,False,1.0
HTL International LLC,10,10,1.0,0.4,100000.0,False,False,1.0
"Hannon Armstrong Capital, LLC",10,10,1.0,0.8,95000.0,False,False,1.0
Hapag-Lloyd (America) LLC,10,10,1.0,0.4,73362.0,False,False,1.0
"Investor Group Services, LLC",10,10,1.0,0.9,185000.0,False,False,1.0
JTC Accountancy Corp.,10,10,1.0,0.4,61526.0,False,False,1.0
KBF CPAs LLP,10,10,1.0,0.4,140000.0,False,False,1.0
Karim Ali CPA PC,10,10,1.0,0.8,55598.0,False,False,1.0
Kookmin Bank New York Branch,10,10,1.0,0.8,68744.0,False,False,1.0
Maesa LLC,10,10,1.0,0.2,172714.0,False,False,1.0
"MaloneBailey, LLP",10,10,1.0,0.7,60000.0,False,False,1.0
Michael Allen Company,10,10,1.0,0.2,135875.0,False,False,1.0
"NextEra Energy Transmission, LLC",10,10,1.0,0.7,200000.0,False,False,1.0
