SOC_TITLE,filings
Information Technology Project Managers,34753
Computer and Information Systems Managers,22450
Business Intelligence Analysts,21914
Accountants and Auditors,17006
Financial and Investment Analysts,16789
Operations Research Analysts,13766
Management Analysts,12748
Market Research Analysts and Marketing Specialists,10975
Project Management Specialists,7278
Financial Quantitative Analysts,6933
Sales Engineers,4775
Architectural and Engineering Managers,4617
Marketing Managers,4500
General and Operations Managers,4054
Financial Managers,2999
Financial Risk Specialists,2782
Logisticians,2703
Construction Managers,2695
Supply Chain Managers,2037
Logistics Analysts,1993
Cost Estimators,1665
Human Resources Specialists,1633
Regulatory Affairs Specialists,1626
Industrial Production Managers,1534
Sales Managers,1481
Chief Executives,1392
"Business Operations Specialists, All Other",1171
Public Relations Specialists,1168
Medical and Health Services Managers,1160
Natural Sciences Managers,955
Logistics Engineers,901
Training and Development Specialists,865
"Transportation, Storage, and Distribution Managers",794
Compliance Officers,721
Credit Analysts,705
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",666
Quality Control Systems Managers,612
Budget Analysts,600
Search Marketing Strategists,580
Purchasing Managers,561
Human Resources Managers,527
Sustainability Specialists,482
"Financial Specialists, All Other",476
Clinical Research Coordinators,474
"Education Administrators, Postsecondary",460
Social and Community Service Managers,444
Technical Writers,427
Regulatory Affairs Managers,409
Compliance Managers,383
"Compensation, Benefits, and Job Analysis Specialists",281
Advertising and Promotions Managers,278
Financial Examiners,263
Treasurers and Controllers,244
"Meeting, Convention, and Event Planners",243
Investment Fund Managers,243
Public Relations Managers,235
Personal Financial Advisors,195
Training and Development Managers,155
"Education Administrators, Kindergarten through Secondary",146
Fundraisers,131
"Managers, All Other",131
"Education and Childcare Administrators, Preschool and Daycare",120
"Farmers, Ranchers, and Other Agricultural Managers",115
Insurance Underwriters,107
Lodging Managers,106
Administrative Services Managers,106
"Fraud Examiners, Investigators and Analysts",98
Financial Analysts,95
"Property, Real Estate, and Community Association Managers",88
"Wholesale and Retail Buyers, Except Farm Products",74
Loan Officers,66
"Education Administrators, All Other",65
"Agents and Business Managers of Artists, Performers, and Athletes",64
Fundraising Managers,63
Business Continuity Planners,62
Food Service Managers,62
Security Management Specialists,49
Tax Preparers,48
"Entertainment and Recreation Managers, Except Gambling",46
Compensation and Benefits Managers,46
Online Merchants,39
Fitness and Wellness Coordinators,39
Operations Research Analyst,34
Facilities Managers,33
Credit Counselors,30
"Buyers and Purchasing Agents, Farm Products",21
Chief Sustainability Officers,20
Environmental Compliance Inspectors,18
Appraisers and Assessors of Real Estate,17
Business Intelligence Analyst,16
"Claims Adjusters, Examiners, and Investigators",14
Security Managers,14
Financial Quantitative Analyst,14
BUSINESS INTELLIGENCE ANALYSTS,12
COMPUTER AND INFORMATION SYSTEMS MANAGERS,11
