WORKSITE_STATE,filings,median_annual_wage
CA,46297,151200.0
NY,35489,142500.0
TX,28304,117262.0
WA,14696,151000.0
NJ,12628,121669.6
IL,10231,118186.0
FL,9125,105000.0
MA,8470,120000.0
GA,7960,115000.0
NC,5851,118700.0
PA,4640,114910.0
VA,4554,115028.5
MI,3569,120000.0
AZ,3239,111750.0
OH,3220,101866.5
CT,2381,120732.5
TN,2319,104200.0
CO,2123,122003.5
UT,2008,83000.0
MD,2001,109017.0
MN,1798,105185.8
IN,1725,100000.0
MO,1624,99743.02
DC,1227,116500.0
AR,1158,130000.0
OR,1083,133744.0
DE,1022,120000.0
WI,1014,101701.6
NV,970,109920.5
SC,940,93777.0
KY,591,99834.0
KS,500,92000.0
AL,460,77032.0
OK,453,78560.04
NH,434,108385.5
IA,421,98692.5
LA,346,81428.0
NE,342,96745.02
RI,316,103870.17
ID,295,103863.0
GU,234,48000.0
NM,166,87000.0
HI,166,86500.0
MS,143,82992.0
PR,99,105000.0
MP,96,44391.2
ME,87,97000.08
WY,74,82215.0
AK,70,80000.0
ND,65,75161.0
WV,63,100000.0
SD,57,78270.5
VT,52,85379.0
MT,37,104246.5
VI,26,79242.5
