EMPLOYER_CANONICAL,filings
Amazon.com Services LLC,29458
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,16918
Google LLC,16421
Ernst & Young U.S. LLP,15846
Microsoft Corporation,14461
Apple Inc.,11999
"Meta Platforms, Inc",11908
TATA CONSULTANCY SERVICES LIMITED,10806
INFOSYS LIMITED,10377
Deloitte Consulting LLP,6919
"WAL-MART ASSOCIATES, INC.",6466
JPMorgan Chase & Co.,6341
"Amazon Web Services, Inc.",6255
"Tesla, Inc.",5676
"Amazon Development Center U.S., Inc.",5075
Intel Corporation,4533
CAPGEMINI AMERICA INC,4483
Accenture LLP,4409
NVIDIA Corporation,4356
HCL AMERICA INC,4355
"COMPUNNEL SOFTWARE GROUP, INC",4225
IBM Corporation,4104
WIPRO LIMITED,3931
"Fidelity Technology Group, LLC d/b/a Fidelity Investments",3912
LTIMindtree Limited,3802
"Salesforce, Inc.",3499
"Grandison Management, Inc.",3456
Mphasis Corporation,2803
"Qualcomm Technologies, Inc.",2746
"Citibank, N.A.",2518
GOLDMAN SACHS & CO. LLC,2447
"Cisco Systems, Inc.",2444
"PayPal, Inc.",2326
"Amazon Data Services, Inc",2237
Adobe Inc.,2234
Deloitte & Touche LLP,2216
"Oracle America, Inc.",2061
LinkedIn Corporation,1992
ByteDance Inc.,1957
"TECH MAHINDRA (AMERICAS), INC",1943
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,1731
FORD MOTOR COMPANY,1662
Deloitte Tax LLP,1642
Federal Express Corporation,1593
"Capital One Services, LLC",1566
Cummins Inc.,1563
"Uber Technologies, Inc.",1560
"RANDSTAD DIGITAL, LLC",1464
"ServiceNow, Inc.",1460
Morgan Stanley Services Group Inc.,1413
General Motors,1410
KFORCE INC.,1399
TT Commerce & Global Services LLC,1390
TikTok Inc.,1380
UST Global Inc,1376
"Advanced Micro Devices, Inc.",1336
CGI Technologies and Solutions Inc.,1313
"Boston Consulting Group, Inc.",1310
Intuit Inc.,1302
U.S. Bank National Association,1290
eBay Inc.,1248
VIRTUSA CORPORATION,1243
BANK OF AMERICA N.A.,1227
GOLDMAN SACHS SERVICES LLC,1223
L&T Technology Services Limited,1202
University of Michigan,1200
"American Express Travel Related Services Company, Inc.",1181
"Infinite Computer Solutions, Inc.",1105
"WELLS FARGO BANK, N.A.",1104
Barclays Services Corp.,1098
"Lucid USA, Inc.",1092
"McKinsey & Company, Inc. United States",1091
"Rivian Automotive, LLC",1063
"Comcast Cable Communications, LLC",1052
"Charter Communications, Inc.",1051
"Micron Technology, Inc.",1038
Hewlett Packard Enterprise Company,1033
"Hexaware Technologies, Inc.",1031
"Palo Alto Networks, Inc.",1025
"Optum Services, Inc.",999
"AT&T SERVICES, INC.",973
Mayo Clinic,967
"DoorDash, Inc.",949
"Charles Schwab & Company, Inc.",942
"ASML US, LP",933
"Capital One, National Association",927
Visa Technology & Operations LLC,920
"FIS Management Services, LLC",916
Synechron Inc.,914
"Applied Materials, Inc",913
"T-Mobile USA, Inc.",893
Snowflake Inc.,893
"Expedia, Inc.",875
CVS Shared Services Resources LLC,860
Washington University,851
"BlackRock Financial Management, Inc.",850
"Databricks, Inc.",847
"People Tech Group, Inc",842
"The Leland Stanford, Jr University",839
Eli Lilly and Company,833
"PERSISTENT SYSTEMS, INC.",833
SKILLTUNE TECHNOLOGIES INC,829
