SOC_TITLE,filings
Software Developers,128109
Data Scientists,19752
Information Technology Project Managers,14387
Computer Systems Engineers/Architects,13778
Software Quality Assurance Analysts and Testers,13745
Computer Programmers,11325
Computer and Information Systems Managers,9014
Computer Systems Analysts,8754
Business Intelligence Analysts,8640
Financial and Investment Analysts,7953
Mechanical Engineers,7257
Accountants and Auditors,6712
"Electronics Engineers, Except Computer",6257
Electrical Engineers,5766
Management Analysts,5722
Operations Research Analysts,5703
Market Research Analysts and Marketing Specialists,5223
Computer and Information Research Scientists,4770
Civil Engineers,4705
Database Administrators,4704
Industrial Engineers,4696
Network and Computer Systems Administrators,4664
"Medical Scientists, Except Epidemiologists",4118
Project Management Specialists,4037
"Physicians, All Other",3393
Financial Quantitative Analysts,3225
Database Architects,3061
Information Security Analysts,2945
Lawyers,2458
Biochemists and Biophysicists,2229
Sales Engineers,2137
Manufacturing Engineers,2133
Architectural and Engineering Managers,2043
Marketing Managers,1872
Statisticians,1854
Computer Network Architects,1820
Physical Therapists,1811
"Elementary School Teachers, Except Special Education",1780
Validation Engineers,1776
Medical and Clinical Laboratory Technologists,1747
Chemists,1686
General and Operations Managers,1685
Web and Digital Interface Designers,1661
Information Security Engineers,1591
"Health Specialties Teachers, Postsecondary",1574
Materials Engineers,1507
"Secondary School Teachers, Except Special and Career/Technical Education",1490
Molecular and Cellular Biologists,1444
"Architects, Except Landscape and Naval",1427
Hospitalists,1394
Financial Risk Specialists,1309
"Computer Occupations, All Other",1306
Construction Managers,1274
Logisticians,1261
Financial Managers,1255
Computer Hardware Engineers,1209
Bioinformatics Scientists,1176
Occupational Therapists,1154
Bioengineers and Biomedical Engineers,1130
Graphic Designers,1124
"Business Teachers, Postsecondary",1120
General Internal Medicine Physicians,1100
"Dentists, General",1065
"Engineering Teachers, Postsecondary",1043
Robotics Engineers,1012
Physicists,1005
Logistics Analysts,1001
"Computer Science Teachers, Postsecondary",946
Biological Technicians,939
Supply Chain Managers,917
Cost Estimators,878
Mechatronics Engineers,847
Data Warehousing Specialists,813
Chemical Engineers,807
"Middle School Teachers, Except Special and Career/Technical Education",760
Registered Nurses,757
Regulatory Affairs Specialists,748
Computer Network Support Specialists,743
"Biological Scientists, All Other",743
Web Developers,734
Automotive Engineers,717
Biostatisticians,715
Industrial Production Managers,707
Human Resources Specialists,699
Economists,699
"Mathematical Science Teachers, Postsecondary",669
Materials Scientists,639
Commercial and Industrial Designers,627
Sales Managers,596
"Business Operations Specialists, All Other",551
Mental Health Counselors,508
Clinical Data Managers,504
Public Relations Specialists,497
Chief Executives,488
Cardiologists,485
Veterinarians,484
Radiologists,471
Family Medicine Physicians,464
Judicial Law Clerks,462
Rehabilitation Counselors,454
"Transportation, Storage, and Distribution Managers",451
"Pediatricians, General",425
"Foreign Language and Literature Teachers, Postsecondary",418
Food Scientists and Technologists,416
Compliance Officers,412
"Economics Teachers, Postsecondary",409
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",408
Interior Designers,406
Natural Sciences Managers,402
Training and Development Specialists,401
Logistics Engineers,401
Medical and Health Services Managers,399
Neurologists,392
Pharmacists,390
"Surgeons, All Other",375
Soil and Plant Scientists,374
Speech-Language Pathologists,357
"Biological Science Teachers, Postsecondary",342
Credit Analysts,341
Actuaries,336
Transportation Engineers,329
Social Science Research Assistants,327
Anesthesiologists,319
"Special Education Teachers, Elementary School",317
Instructional Coordinators,315
Environmental Engineers,311
"Art, Drama, and Music Teachers, Postsecondary",310
Landscape Architects,300
Paralegals and Legal Assistants,295
Architectural and Civil Drafters,294
Microbiologists,293
Budget Analysts,290
Psychiatrists,283
Epidemiologists,281
Photonics Engineers,279
"Environmental Scientists and Specialists, Including Health",277
"Engineers, All Other",269
"Geoscientists, Except Hydrologists and Geographers",267
"Healthcare Practitioners and Technical Workers, All Other",267
Exercise Physiologists,265
Search Marketing Strategists,263
Coaches and Scouts,258
"Educational, Guidance, and Career Counselors and Advisors",256
"Software Developers, Non R&D",253
Purchasing Managers,248
Aerospace Engineers,241
Quality Control Systems Managers,237
"Financial Specialists, All Other",236
"Communications Teachers, Postsecondary",234
Human Factors Engineers and Ergonomists,231
Urban and Regional Planners,229
"Education Teachers, Postsecondary",216
