SOC_TITLE,I,II,III,IV,total
ACCOUNTANTS AND AUDITORS,0,0,1,1,2
ADVERTISING AND PROMOTIONS MANAGERS,1,0,0,0,1
Accountants,2,4,0,2,8
Accountants & Auditors,1,0,0,0,1
Accountants and Auditors,4807,6603,2675,2539,16624
Accounts and Auditors,0,0,0,1,1
Administrative Services Managers,48,22,11,15,96
Advertising and Promotions Managers,88,88,21,42,239
"Agents and Business Managers of Artists, Performers, and Athletes",26,15,13,9,63
Appraisers and Assessors of Real Estate,3,8,3,3,17
Appraisers of Personal and Business Property,4,1,0,1,6
Architectural and Engineering Managers,692,1455,953,1011,4111
Auditors,1,1,2,0,4
BUSINESS INTELLIGENCE ANALYSTS,0,3,4,5,12
Biofuels Production Managers,0,2,2,6,10
Biofuels/Biodiesel Technology and Product Development Managers,0,1,2,0,3
Biomass Power Plant Managers,0,0,2,0,2
Budget Analysts,235,190,80,82,587
Business Continuity Planners,25,20,5,10,60
Business Intelligence Analyst,2,8,3,2,15
Business Intelligence Analysts,4305,8162,4134,2873,19474
"Business Operations Specialists, All Other",467,426,144,120,1157
Business intelligence Analyst,0,2,0,0,2
"Buyers and Purchasing Agents, Farm Products",6,2,2,11,21
CHIEF EXECUTIVES,2,0,0,0,2
COMPUTER AND INFORMATION SYSTEMS MANAGERS,1,6,2,1,10
CONSTRUCTION MANAGERS,0,2,0,2,4
Chief Executives,354,391,210,208,1163
Chief Sustainability Officers,9,4,1,0,14
"Claims Adjusters, Examiners, and Investigators",3,1,4,6,14
Clinical Research Coordinators,209,95,45,23,372
Compensation and Benefits Managers,9,15,10,8,42
"Compensation, Benefits, and Job Analysis Specialis",0,1,0,2,3
"Compensation, Benefits, and Job Analysis Specialists",68,100,52,61,281
Compliance Managers,64,129,75,82,350
Compliance Officers,197,248,112,155,712
Computer & Information Systems Managers,0,0,0,1,1
Computer and Information System Managers,0,0,0,2,2
Computer and Information Systems Manager,1,1,1,1,4
Computer and Information Systems Managers,1838,6634,4329,5048,17849
Construction Manager,0,0,1,0,1
Construction Managers,750,842,455,541,2588
Construction managers,1,0,0,0,1
Consultant,0,0,0,2,2
Cost Estimator,0,0,1,0,1
Cost Estimators,362,483,343,468,1656
Credit Analysts,182,185,127,199,693
Credit Counselors,19,8,0,3,30
"Education Administrators, All Other",45,11,5,4,65
"Education Administrators, Kindergarten through Secondary",68,40,16,13,137
"Education Administrators, Postsecondary",203,116,57,37,413
"Education and Childcare Administrators, Preschool",0,0,0,1,1
"Education and Childcare Administrators, Preschool and Daycare",60,32,19,7,118
Emergency Management Directors,3,0,2,1,6
"Entertainment and Recreation Managers, Except Gambling",19,18,5,3,45
Environmental Compliance Inspectors,9,7,1,1,18
Equal Opportunity Representatives and Officers,1,0,3,1,5
FINANCIAL DEVELOPMENT SUPERVISOR,0,0,0,1,1
FINANCIAL MANAGERS,0,1,2,0,3
"FINANCIAL SPECIALISTS, ALL OTHER",0,0,1,0,1
Facilities Managers,10,10,4,8,32
"Farmers, Ranchers, and Other Agricultural Managers",46,28,16,22,112
Financial  and Investment Analysts,0,1,0,0,1
Financial & Investment Analysts,1,2,0,1,4
Financial Analysts,17,41,13,17,88
Financial Examiners,61,104,54,32,251
Financial Managers,513,770,517,753,2553
Financial Mangers,0,1,0,0,1
Financial Quantitative Analyst,4,5,2,1,12
Financial Quantitative Analysts,1256,2800,1451,1335,6842
Financial Risk Specialist,0,1,0,0,1
Financial Risk Specialists,454,959,568,561,2542
"Financial Specialist, All Other",0,1,0,0,1
"Financial Specialists, All Other",152,153,75,76,456
Financial and Investment Analyst,3,1,0,3,7
Financial and Investment Analysts,3620,5667,3014,3551,15852
Financial and Investment Anlaysts,1,0,1,0,2
Fitness and Wellness Coordinators,9,17,6,5,37
Food Service Managers,11,22,19,5,57
"Fraud Examiners, Investigators and Analysts",19,36,12,30,97
Fundraisers,52,39,23,15,129
Fundraising Managers,27,10,2,22,61
General & Operations Managers,0,0,0,1,1
General and Operation Managers,0,0,0,2,2
General and Operations Management,0,0,0,1,1
General and Operations Managers,1158,1120,747,920,3945
Government Property Inspectors and Investigators,0,1,0,0,1
HUMAN RESOURCE MANAGERS,0,1,0,0,1
Human Resources Manager,0,1,0,0,1
Human Resources Managers,141,136,90,128,495
Human Resources Specialist,0,0,1,0,1
Human Resources Specialists,379,602,310,327,1618
Hydroelectric Production Managers,0,0,0,1,1
INDUSTRIAL PRODUCTION MANAGERS,0,0,1,0,1
INFORMATION TECHNOLOGY PROJECT MANAGERS,0,0,0,1,1
Industrial Production Managers,182,447,322,421,1372
Information Systems Managers,0,0,1,0,1
Information Technology Project Manager,0,3,2,5,10
Information Technology Project Managers,1253,10586,10056,11636,33531
Information Technology Project Managers15-1299.09,0,0,0,1,1
Information Technology Project managers,0,0,0,1,1
Information technology Project Managers,0,0,0,2,2
Insurance Underwriters,29,25,7,45,106
Investment Fund Managers,38,77,39,81,235
Labor Relations Specialists,4,2,2,0,8
Loan Officers,32,16,10,6,64
Lodging Managers,33,36,11,23,103
Logisticians,528,989,545,612,2674
Logisticians Analysts,0,1,0,0,1
Logistics Analysts,648,716,357,247,1968
Logistics Engineer,0,0,1,0,1
Logistics Engineers,154,330,194,211,889
MANAGEMENT ANALYSTS,0,1,0,2,3
MARKETING MANAGERS,0,1,1,2,4
Maket Research Analysts and Marketing Specialists,0,0,1,0,1
Management Analyst,1,3,0,1,5
Management Analysts,2273,4572,2538,3142,12525
"Managers, All Other",29,31,23,37,120
"Managers, All others",0,0,3,0,3
Market Managers,0,0,0,1,1
Market Research  Analysts and Marketing Specialists,0,0,1,0,1
Market Research Analyst,0,0,1,0,1
Market Research Analysts,2,2,0,1,5
Market Research Analysts & Marketing Specialists,0,0,0,2,2
Market Research Analysts and Marketing Managers,0,0,0,1,1
Market Research Analysts and Marketing Specialist,1,0,0,0,1
Market Research Analysts and Marketing Specialists,3168,3754,1990,1926,10838
Marketing Manager,1,1,0,0,2
Marketing Managers,842,1246,786,867,3741
Marketing Research Analysts and Marketing Specialists,0,1,1,1,3
Medical and Health Services Managers,528,313,108,183,1132
Medical and Health Services Manages,0,0,1,0,1
"Meeting, Convention, and Event Planners",76,71,41,48,236
Natural Science Managers,1,0,0,0,1
Natural Sciences Managers,228,310,185,177,900
OPERATIONS RESEARCH ANALYSTS,0,0,0,1,1
Online Merchants,21,12,3,3,39
Operations Research Analyst,7,13,4,9,33
Operations Research Analysts,2554,5003,3352,2719,13628
PUBLIC RELATIONS MANAGERS,1,0,0,0,1
PUBLIC RELATIONS SPECIALISTS,1,0,0,0,1
Personal Financial Advisors,94,53,19,18,184
"Personal Service Managers, All Other",3,2,0,3,8
Project Management Specialist,0,4,1,1,6
Project Management Specialists,1365,1984,1533,2103,6985
Project Manager Specialists,0,1,0,0,1
"Property, Real Estate, & Community Assn Mgrs",0,0,0,1,1
"Property, Real Estate, and Community Association Managers",27,26,16,17,86
Public Relations Managers,59,69,33,54,215
Public Relations Specialist,0,1,0,0,1
Public Relations Specialists,460,381,152,154,1147
"Purchasing Agents, Except Wholesale, Retail and Farm Products",0,1,0,0,1
"Purchasing Agents, Except Wholesale, Retail, and F",0,4,6,0,10
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",162,255,124,117,658
Purchasing Manager,0,0,0,1,1
Purchasing Managers,103,186,98,92,479
QUALITY CONTROL SYSTEMS MANAGERS,0,1,0,0,1
Quality Control Systems Manager,0,1,0,0,1
Quality Control Systems Managers,127,200,108,147,582
Regulatory Affair Specialist,0,0,0,1,1
Regulatory Affairs Managers,55,116,96,104,371
Regulatory Affairs Specialist,0,3,1,0,4
Regulatory Affairs Specialists,279,606,367,361,1613
Risk Management Specialists,3,0,1,0,4
Sales Engineer,1,0,0,4,5
Sales Engineers,503,1168,1138,1418,4227
Sales Manager,0,2,0,1,3
Sales Managers,353,430,295,266,1344
Search Marketing Strategists,167,175,116,108,566
Security Management Specialists,13,20,4,12,49
Security Managers,2,2,1,9,14
Social and Community Service Managers,206,115,60,47,428
Supply Chain Manager,0,0,0,1,1
Supply Chain Managers,182,665,460,453,1760
Supply Chain Manger,0,0,0,1,1
Sustainability Specialists,96,176,97,109,478
"Tax Examiners and Collectors, and Revenue Agents",3,0,1,0,4
Tax Preparers,10,17,9,12,48
Technical Writers,77,140,94,105,416
Top Executives,1,0,0,0,1
Training and Development Managers,30,47,32,36,145
Training and Development Specialists,147,408,152,146,853
"Transportation, Storage, and Distribution Managers",61,92,197,383,733
Treasurers and Controllers,55,83,35,50,223
Water Resource Specialists,4,2,3,0,9
"Wholesale and Retail Buyers, Except Farm Products",20,28,7,16,71
Wind Energy Development Managers,1,4,3,0,8
Wind Energy Operations Managers,0,1,0,0,1
