PWD_SOC_TITLE,filings
Project Management Specialists,6528
Computer and Information Systems Managers,3592
Accountants and Auditors,3562
Business Intelligence Analysts,3018
Financial and Investment Analysts,2368
Management Analysts,2363
Market Research Analysts and Marketing Specialists,2223
Financial Quantitative Analysts,1856
General and Operations Managers,1425
Sales Engineers,1342
Marketing Managers,1328
Operations Research Analysts,1129
Architectural and Engineering Managers,940
Construction Managers,838
Financial Managers,800
Sales Managers,660
Industrial Production Managers,620
Financial Risk Specialists,573
Cost Estimators,495
Logisticians,481
Food Service Managers,459
Supply Chain Managers,454
Logistics Analysts,447
Human Resources Specialists,421
Search Marketing Strategists,343
Regulatory Affairs Specialists,326
Quality Control Systems Managers,308
Public Relations Specialists,305
"Transportation, Storage, and Distribution Managers",275
Purchasing Managers,224
Chief Executives,203
Medical and Health Services Managers,200
Credit Analysts,197
Human Resources Managers,181
Training and Development Specialists,177
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",174
"Farmers, Ranchers, and Other Agricultural Managers",166
Logistics Engineers,164
Budget Analysts,162
Treasurers and Controllers,159
Natural Sciences Managers,138
Administrative Services Managers,136
Investment Fund Managers,120
"Wholesale and Retail Buyers, Except Farm Products",119
Compliance Managers,113
"Property, Real Estate, and Community Association Managers",101
Regulatory Affairs Managers,99
Clinical Research Coordinators,89
Compliance Officers,83
"Meeting, Convention, and Event Planners",83
Personal Financial Advisors,78
Social and Community Service Managers,77
Lodging Managers,71
Advertising and Promotions Managers,71
"Education Administrators, Postsecondary",70
Sustainability Specialists,62
Technical Writers,62
"Education and Childcare Administrators, Preschool and Daycare",59
Training and Development Managers,56
"Fraud Examiners, Investigators and Analysts",54
Insurance Underwriters,51
Public Relations Managers,50
Financial Examiners,50
Spa Managers,45
Tax Preparers,44
Loan Officers,44
Facilities Managers,38
"Compensation, Benefits, and Job Analysis Specialists",31
"Education Administrators, Kindergarten through Secondary",29
Fitness and Wellness Coordinators,22
Fundraising Managers,20
"Buyers and Purchasing Agents, Farm Products",19
Compensation and Benefits Managers,16
Business Continuity Planners,16
"Claims Adjusters, Examiners, and Investigators",15
"Agents and Business Managers of Artists, Performers, and Athletes",15
Fundraisers,14
Customs Brokers,14
Security Management Specialists,13
Security Managers,11
Environmental Compliance Inspectors,11
Online Merchants,8
"Entertainment and Recreation Managers, Except Gambling",8
"Managers, All Other",8
"Business Operations Specialists, All Other",7
Wind Energy Development Managers,6
"Education Administrators, All Other",6
"Financial Specialists, All Other",5
Appraisers and Assessors of Real Estate,5
Equal Opportunity Representatives and Officers,4
"Personal Service Managers, All Other",4
Emergency Management Directors,4
Chief Sustainability Officers,3
"Insurance Appraisers, Auto Damage",3
Information Technology Project Managers,3
Loss Prevention Managers,2
Farm Labor Contractors,2
Wind Energy Operations Managers,2
Credit Counselors,2
Biofuels Production Managers,2
"Tax Examiners and Collectors, and Revenue Agents",2
Government Property Inspectors and Investigators,1
Geothermal Production Managers,1
Water Resource Specialists,1
Appraisers of Personal and Business Property,1
Coroners,1
Brownfield Redevelopment Specialists and Site Managers,1
