PWD_SOC_TITLE,filings
Software Developers,57876
Computer Systems Analysts,11592
"Meat, Poultry, and Fish Cutters and Trimmers",8524
Fast Food and Counter Workers,7119
Project Management Specialists,6528
Data Scientists,5572
Software Quality Assurance Analysts and Testers,4691
Medical and Clinical Laboratory Technologists,4549
Landscaping and Groundskeeping Workers,4315
Nursing Assistants,3593
Computer and Information Systems Managers,3592
Accountants and Auditors,3562
"Electronics Engineers, Except Computer",3408
Helpers--Production Workers,3110
Business Intelligence Analysts,3018
Mechanical Engineers,2880
"Packers and Packagers, Hand",2606
Team Assemblers,2504
Personal Care Aides,2431
Electrical Engineers,2369
Financial and Investment Analysts,2368
Management Analysts,2363
"Cooks, Restaurant",2352
Home Health Aides,2322
Maids and Housekeeping Cleaners,2252
Market Research Analysts and Marketing Specialists,2223
Heavy and Tractor-Trailer Truck Drivers,2122
Civil Engineers,2087
Industrial Engineers,2078
Data Warehousing Specialists,2048
Financial Quantitative Analysts,1856
"Laborers and Freight, Stock, and Material Movers, Hand",1814
Information Security Analysts,1555
General and Operations Managers,1425
Validation Engineers,1377
Sales Engineers,1342
Database Architects,1339
Marketing Managers,1328
Chefs and Head Cooks,1266
General Internal Medicine Physicians,1260
Network and Computer Systems Administrators,1182
Food Preparation Workers,1179
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1136
Operations Research Analysts,1129
Manufacturing Engineers,1127
Computer Programmers,1104
"Bookkeeping, Accounting, and Auditing Clerks",1081
Statisticians,1047
Database Administrators,1023
Nannies,968
Architectural and Engineering Managers,940
"Elementary School Teachers, Except Special Education",864
Construction Managers,838
Automotive Engineers,823
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",820
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",814
Financial Managers,800
Manicurists and Pedicurists,792
Web and Digital Interface Designers,784
Materials Engineers,780
Lawyers,779
Cleaners of Vehicles and Equipment,777
"Graders and Sorters, Agricultural Products",765
"Business Teachers, Postsecondary",763
Slaughterers and Meat Packers,762
Computer Network Architects,751
"Architects, Except Landscape and Naval",724
Sales Managers,660
"Secondary School Teachers, Except Special and Career/Technical Education",658
Construction Laborers,657
Stockers and Order Fillers,653
First-Line Supervisors of Retail Sales Workers,632
Industrial Production Managers,620
Web Developers,619
Financial Risk Specialists,573
Mechatronics Engineers,566
"Dentists, General",507
Cost Estimators,495
Logisticians,481
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",470
Waiters and Waitresses,467
"Health Specialties Teachers, Postsecondary",465
Graphic Designers,461
Food Service Managers,459
Supply Chain Managers,454
Chemists,447
Logistics Analysts,447
"Physicians, All Other",446
Agricultural Equipment Operators,444
"Office Clerks, General",438
Paralegals and Legal Assistants,426
"Cooks, Fast Food",422
Human Resources Specialists,421
Rehabilitation Counselors,408
"Computer Science Teachers, Postsecondary",406
First-Line Supervisors of Food Preparation and Serving Workers,387
"Farmworkers, Farm, Ranch, and Aquacultural Animals",383
Computer Hardware Engineers,366
Family Medicine Physicians,357
Cashiers,352
Robotics Engineers,348
Aircraft Mechanics and Service Technicians,345
Search Marketing Strategists,343
Clinical Data Managers,342
Architectural and Civil Drafters,332
Bioengineers and Biomedical Engineers,331
Retail Salespersons,331
Coaches and Scouts,328
Regulatory Affairs Specialists,326
Computer and Information Research Scientists,324
"Middle School Teachers, Except Special and Career/Technical Education",324
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",320
Dishwashers,311
"Engineering Teachers, Postsecondary",309
Quality Control Systems Managers,308
Public Relations Specialists,305
First-Line Supervisors of Office and Administrative Support Workers,298
Chemical Engineers,295
Economists,294
Animal Scientists,293
Carpenters,288
